Box, dz =, numlayers,layer 0,layer 1,layer 2,layer 3,Sediment,Depth,Area,,max.z,min.z,mean.z
0,"  50, 50, _, _, 1,",2,50,50, _, _,1,100,12615790945,,-3153,16,-222
1,"  17.6, _, _, _, 1,",1,17.6, _, _, _,1,17.6,12352862582,,-35,5,-18
2,"  36.5, _, _, _, 1,",1,36.5, _, _, _,1,36.5,29964601483,,-104,-14,-37
3,"  8.5, 70, 50, _, 1,",3,8.5,70,50, _,1,128.5,13920711174,,-1641,-38,-200
4,"  20.5, _, _, _, 1,",1,20.5, _, _, _,1,20.5,3676946495,,-37,10,-19
5,"  56, 50, _, _, 1,",2,56,50, _, _,1,106,11085441644,,-588,-25,-71
6,"  59.9, 50, _, _, 1,",2,59.9,50, _, _,1,109.9,19468592595,,-589,-29,-93
7,"  33.8, _, _, _, 1,",1,33.8, _, _, _,1,33.8,10363076990,,-59,54,-29
8,"  2, 50, _, _, 1,",2,2,50, _, _,1,52,6455559428,,-153,11,-43
9,"  35.3, 50, _, _, 1,",2,35.3,50, _, _,1,85.3,17308896405,,-894,-13,-83
10,"  25.3, 50, _, _, 1,",2,25.3,50, _, _,1,75.3,11219585917,,-189,53,-64
11,"  65.6, 70, 50, _, 1,",3,65.6,70,50, _,1,185.6,15998216129,,-289,-32,-189
12,"  59.8, 50, _, _, 1,",2,59.8,50, _, _,1,109.8,4307417670,,-232,-22,-108
13,"  48.9, _, _, _, 1,",1,48.9, _, _, _,1,48.9,14142042553,,-77,-11,-46
14,"  18.8, 70, 50, _, 1,",3,18.8,70,50, _,1,138.8,12703070733,,-1407,-47,-117
15,"  51.8, 50, _, _, 1,",2,51.8,50, _, _,1,101.8,9165294614,,-886,-36,-104
16,"  36, 70, 50, _, 1,",3,36,70,50, _,1,156,11323737209,,-215,-36,-152
17,"  31.9, 50, _, _, 1,",2,31.9,50, _, _,1,81.9,5031657500,,-147,101,-51
18,"  36.4, 50, _, _, 1,",2,36.4,50, _, _,1,86.4,4830554502,,-186,78,-58
19,"  79.1, 70, 50, _, 1,",3,79.1,70,50, _,1,199.1,17736767097,,-286,-52,-195
20,"  110.2, 70, 50, _, 1,",3,110.2,70,50, _,1,230.2,9945917093,,-369,-118,-221
21,"  66.3, 70, 50, _, 1,",3,66.3,70,50, _,1,186.3,6101009492,,-522,-60,-230
22,"  69.6, 50, _, _, 1,",2,69.6,50, _, _,1,119.6,17154064183,,-224,-25,-120
23,"  _, _, _, _, 1,", _,  _, _, _, _,1,0,173026048,,-11,16,1
24,"  _, _, _, _, 1,", _,  _, _, _, _,1,0,294595422,,-20,299,50
25,"  50, 50, _, _, 1,",2,50,50, _, _,1,100,30440867891,,-216,397,-44
26,"  30, 70, 50, _, 1,",3,30,70,50, _,1,150,22644748814,,-2845,-78,-1283
27,"  200, 180, 70, 50, 1,",4,200,180,70,50,1,500,25944358870,,-3802,-49,-2683
28,"  200, 180, 70, 50, 1,",4,200,180,70,50,1,500,40230494304,,-3607,-113,-2164
29,"  200, 180, 70, 50, 1 ;",4,200,180,70,50,1,500,36669090970,,-2982,-121,-1917
