"pPREY1FPL1","X67","nm","name","type","intx"
"pPREYBC",67,"BC","BC",NA,"Invert Pred"
"pPREYBD",67,"BD","BD",NA,"Invert Pred"
"pPREYBFD",67,"BFD","BFD",NA,"Invert Pred"
"pPREYBFF",67,"BFF","BFF",NA,"Invert Pred"
"pPREYBFS",67,"BFS","BFS",NA,"Invert Pred"
"pPREYBG",67,"BG","BG",NA,"Invert Pred"
"pPREYBMD",67,"BMD","BMD",NA,"Invert Pred"
"pPREYBML",67,"BML","BML",NA,"Invert Pred"
"pPREYBMS",67,"BMS","BMS",NA,"Invert Pred"
"pPREYBO",67,"BO","BO",NA,"Invert Pred"
"pPREYCEP1",67,"CEP1","CEP",1,NA
"pPREYCEP2",67,"CEP2","CEP",2,NA
"pPREYDF",67,"DF","DF",NA,"Invert Pred"
"pPREY1FBP1",67,"1FBP1","FBP",11,"Juv Pred - Juv Prey"
"pPREY1FBP2",67,"1FBP2","FBP",12,"Juv Pred - Adt Prey"
"pPREY2FBP1",67,"2FBP1","FBP",21,"Adt Pred - Juv Prey"
"pPREY2FBP2",67,"2FBP2","FBP",22,"Adt Pred - Adt Prey"
"pPREY1FDB1",67,"1FDB1","FDB",11,"Juv Pred - Juv Prey"
"pPREY1FDB2",67,"1FDB2","FDB",12,"Juv Pred - Adt Prey"
"pPREY2FDB1",67,"2FDB1","FDB",21,"Adt Pred - Juv Prey"
"pPREY2FDB2",67,"2FDB2","FDB",22,"Adt Pred - Adt Prey"
"pPREY1FDC1",67,"1FDC1","FDC",11,"Juv Pred - Juv Prey"
"pPREY1FDC2",67,"1FDC2","FDC",12,"Juv Pred - Adt Prey"
"pPREY2FDC1",67,"2FDC1","FDC",21,"Adt Pred - Juv Prey"
"pPREY2FDC2",67,"2FDC2","FDC",22,"Adt Pred - Adt Prey"
"pPREY1FDD1",67,"1FDD1","FDD",11,"Juv Pred - Juv Prey"
"pPREY1FDD2",67,"1FDD2","FDD",12,"Juv Pred - Adt Prey"
"pPREY2FDD1",67,"2FDD1","FDD",21,"Adt Pred - Juv Prey"
"pPREY2FDD2",67,"2FDD2","FDD",22,"Adt Pred - Adt Prey"
"pPREY1FDE1",67,"1FDE1","FDE",11,"Juv Pred - Juv Prey"
"pPREY1FDE2",67,"1FDE2","FDE",12,"Juv Pred - Adt Prey"
"pPREY2FDE1",67,"2FDE1","FDE",21,"Adt Pred - Juv Prey"
"pPREY2FDE2",67,"2FDE2","FDE",22,"Adt Pred - Adt Prey"
"pPREY1FDF1",67,"1FDF1","FDF",11,"Juv Pred - Juv Prey"
"pPREY1FDF2",67,"1FDF2","FDF",12,"Juv Pred - Adt Prey"
"pPREY2FDF1",67,"2FDF1","FDF",21,"Adt Pred - Juv Prey"
"pPREY2FDF2",67,"2FDF2","FDF",22,"Adt Pred - Adt Prey"
"pPREY1FDM1",67,"1FDM1","FDM",11,"Juv Pred - Juv Prey"
"pPREY1FDM2",67,"1FDM2","FDM",12,"Juv Pred - Adt Prey"
"pPREY2FDM1",67,"2FDM1","FDM",21,"Adt Pred - Juv Prey"
"pPREY2FDM2",67,"2FDM2","FDM",22,"Adt Pred - Adt Prey"
"pPREY1FDO1",67,"1FDO1","FDO",11,"Juv Pred - Juv Prey"
"pPREY1FDO2",67,"1FDO2","FDO",12,"Juv Pred - Adt Prey"
"pPREY2FDO1",67,"2FDO1","FDO",21,"Adt Pred - Juv Prey"
"pPREY2FDO2",67,"2FDO2","FDO",22,"Adt Pred - Adt Prey"
"pPREY1FDP1",67,"1FDP1","FDP",11,"Juv Pred - Juv Prey"
"pPREY1FDP2",67,"1FDP2","FDP",12,"Juv Pred - Adt Prey"
"pPREY2FDP1",67,"2FDP1","FDP",21,"Adt Pred - Juv Prey"
"pPREY2FDP2",67,"2FDP2","FDP",22,"Adt Pred - Adt Prey"
"pPREY1FDS1",67,"1FDS1","FDS",11,"Juv Pred - Juv Prey"
"pPREY1FDS2",67,"1FDS2","FDS",12,"Juv Pred - Adt Prey"
"pPREY2FDS1",67,"2FDS1","FDS",21,"Adt Pred - Juv Prey"
"pPREY2FDS2",67,"2FDS2","FDS",22,"Adt Pred - Adt Prey"
"pPREY1FMM1",67,"1FMM1","FMM",11,"Juv Pred - Juv Prey"
"pPREY1FMM2",67,"1FMM2","FMM",12,"Juv Pred - Adt Prey"
"pPREY2FMM1",67,"2FMM1","FMM",21,"Adt Pred - Juv Prey"
"pPREY2FMM2",67,"2FMM2","FMM",22,"Adt Pred - Adt Prey"
"pPREY1FMN1",67,"1FMN1","FMN",11,"Juv Pred - Juv Prey"
"pPREY1FMN2",67,"1FMN2","FMN",12,"Juv Pred - Adt Prey"
"pPREY2FMN1",67,"2FMN1","FMN",21,"Adt Pred - Juv Prey"
"pPREY2FMN2",67,"2FMN2","FMN",22,"Adt Pred - Adt Prey"
"pPREY1FPL2",67,"1FPL2","FPL",12,"Juv Pred - Adt Prey"
"pPREY2FPL1",67,"2FPL1","FPL",21,"Adt Pred - Juv Prey"
"pPREY2FPL2",67,"2FPL2","FPL",22,"Adt Pred - Adt Prey"
"pPREY1FPO1",67,"1FPO1","FPO",11,"Juv Pred - Juv Prey"
"pPREY1FPO2",67,"1FPO2","FPO",12,"Juv Pred - Adt Prey"
"pPREY2FPO1",67,"2FPO1","FPO",21,"Adt Pred - Juv Prey"
"pPREY2FPO2",67,"2FPO2","FPO",22,"Adt Pred - Adt Prey"
"pPREY1FPS1",67,"1FPS1","FPS",11,"Juv Pred - Juv Prey"
"pPREY1FPS2",67,"1FPS2","FPS",12,"Juv Pred - Adt Prey"
"pPREY2FPS1",67,"2FPS1","FPS",21,"Adt Pred - Juv Prey"
"pPREY2FPS2",67,"2FPS2","FPS",22,"Adt Pred - Adt Prey"
"pPREY1FVB1",67,"1FVB1","FVB",11,"Juv Pred - Juv Prey"
"pPREY1FVB2",67,"1FVB2","FVB",12,"Juv Pred - Adt Prey"
"pPREY2FVB1",67,"2FVB1","FVB",21,"Adt Pred - Juv Prey"
"pPREY2FVB2",67,"2FVB2","FVB",22,"Adt Pred - Adt Prey"
"pPREY1FVD1",67,"1FVD1","FVD",11,"Juv Pred - Juv Prey"
"pPREY1FVD2",67,"1FVD2","FVD",12,"Juv Pred - Adt Prey"
"pPREY2FVD1",67,"2FVD1","FVD",21,"Adt Pred - Juv Prey"
"pPREY2FVD2",67,"2FVD2","FVD",22,"Adt Pred - Adt Prey"
"pPREY1FVO1",67,"1FVO1","FVO",11,"Juv Pred - Juv Prey"
"pPREY1FVO2",67,"1FVO2","FVO",12,"Juv Pred - Adt Prey"
"pPREY2FVO1",67,"2FVO1","FVO",21,"Adt Pred - Juv Prey"
"pPREY2FVO2",67,"2FVO2","FVO",22,"Adt Pred - Adt Prey"
"pPREY1FVS1",67,"1FVS1","FVS",11,"Juv Pred - Juv Prey"
"pPREY1FVS2",67,"1FVS2","FVS",12,"Juv Pred - Adt Prey"
"pPREY2FVS1",67,"2FVS1","FVS",21,"Adt Pred - Juv Prey"
"pPREY2FVS2",67,"2FVS2","FVS",22,"Adt Pred - Adt Prey"
"pPREY1FVT1",67,"1FVT1","FVT",11,"Juv Pred - Juv Prey"
"pPREY1FVT2",67,"1FVT2","FVT",12,"Juv Pred - Adt Prey"
"pPREY2FVT1",67,"2FVT1","FVT",21,"Adt Pred - Juv Prey"
"pPREY2FVT2",67,"2FVT2","FVT",22,"Adt Pred - Adt Prey"
"pPREY1FVV1",67,"1FVV1","FVV",11,"Juv Pred - Juv Prey"
"pPREY1FVV2",67,"1FVV2","FVV",12,"Juv Pred - Adt Prey"
"pPREY2FVV1",67,"2FVV1","FVV",21,"Adt Pred - Juv Prey"
"pPREY2FVV2",67,"2FVV2","FVV",22,"Adt Pred - Adt Prey"
"pPREY1PIN1",67,"1PIN1","PIN",11,"Juv Pred - Juv Prey"
"pPREY1PIN2",67,"1PIN2","PIN",12,"Juv Pred - Adt Prey"
"pPREY2PIN1",67,"2PIN1","PIN",21,"Adt Pred - Juv Prey"
"pPREY2PIN2",67,"2PIN2","PIN",22,"Adt Pred - Adt Prey"
"pPREYPWN1",67,"PWN1","PWN",1,NA
"pPREYPWN2",67,"PWN2","PWN",2,NA
"pPREY1REP1",67,"1REP1","REP",11,"Juv Pred - Juv Prey"
"pPREY1REP2",67,"1REP2","REP",12,"Juv Pred - Adt Prey"
"pPREY2REP1",67,"2REP1","REP",21,"Adt Pred - Juv Prey"
"pPREY2REP2",67,"2REP2","REP",22,"Adt Pred - Adt Prey"
"pPREY1SB1",67,"1SB1","SB",11,"Juv Pred - Juv Prey"
"pPREY1SB2",67,"1SB2","SB",12,"Juv Pred - Adt Prey"
"pPREY2SB1",67,"2SB1","SB",21,"Adt Pred - Juv Prey"
"pPREY2SB2",67,"2SB2","SB",22,"Adt Pred - Adt Prey"
"pPREY1SHB1",67,"1SHB1","SHB",11,"Juv Pred - Juv Prey"
"pPREY1SHB2",67,"1SHB2","SHB",12,"Juv Pred - Adt Prey"
"pPREY2SHB1",67,"2SHB1","SHB",21,"Adt Pred - Juv Prey"
"pPREY2SHB2",67,"2SHB2","SHB",22,"Adt Pred - Adt Prey"
"pPREY1SHC1",67,"1SHC1","SHC",11,"Juv Pred - Juv Prey"
"pPREY1SHC2",67,"1SHC2","SHC",12,"Juv Pred - Adt Prey"
"pPREY2SHC1",67,"2SHC1","SHC",21,"Adt Pred - Juv Prey"
"pPREY2SHC2",67,"2SHC2","SHC",22,"Adt Pred - Adt Prey"
"pPREY1SHD1",67,"1SHD1","SHD",11,"Juv Pred - Juv Prey"
"pPREY1SHD2",67,"1SHD2","SHD",12,"Juv Pred - Adt Prey"
"pPREY2SHD1",67,"2SHD1","SHD",21,"Adt Pred - Juv Prey"
"pPREY2SHD2",67,"2SHD2","SHD",22,"Adt Pred - Adt Prey"
"pPREY1SHP1",67,"1SHP1","SHP",11,"Juv Pred - Juv Prey"
"pPREY1SHP2",67,"1SHP2","SHP",12,"Juv Pred - Adt Prey"
"pPREY2SHP1",67,"2SHP1","SHP",21,"Adt Pred - Juv Prey"
"pPREY2SHP2",67,"2SHP2","SHP",22,"Adt Pred - Adt Prey"
"pPREY1SHR1",67,"1SHR1","SHR",11,"Juv Pred - Juv Prey"
"pPREY1SHR2",67,"1SHR2","SHR",12,"Juv Pred - Adt Prey"
"pPREY2SHR1",67,"2SHR1","SHR",21,"Adt Pred - Juv Prey"
"pPREY2SHR2",67,"2SHR2","SHR",22,"Adt Pred - Adt Prey"
"pPREY1SP1",67,"1SP1","SP",11,"Juv Pred - Juv Prey"
"pPREY1SP2",67,"1SP2","SP",12,"Juv Pred - Adt Prey"
"pPREY2SP1",67,"2SP1","SP",21,"Adt Pred - Juv Prey"
"pPREY2SP2",67,"2SP2","SP",22,"Adt Pred - Adt Prey"
"pPREY1SSK1",67,"1SSK1","SSK",11,"Juv Pred - Juv Prey"
"pPREY1SSK2",67,"1SSK2","SSK",12,"Juv Pred - Adt Prey"
"pPREY2SSK1",67,"2SSK1","SSK",21,"Adt Pred - Juv Prey"
"pPREY2SSK2",67,"2SSK2","SSK",22,"Adt Pred - Adt Prey"
"pPREY1WDG1",67,"1WDG1","WDG",11,"Juv Pred - Juv Prey"
"pPREY1WDG2",67,"1WDG2","WDG",12,"Juv Pred - Adt Prey"
"pPREY2WDG1",67,"2WDG1","WDG",21,"Adt Pred - Juv Prey"
"pPREY2WDG2",67,"2WDG2","WDG",22,"Adt Pred - Adt Prey"
"pPREY1WHB1",67,"1WHB1","WHB",11,"Juv Pred - Juv Prey"
"pPREY1WHB2",67,"1WHB2","WHB",12,"Juv Pred - Adt Prey"
"pPREY2WHB1",67,"2WHB1","WHB",21,"Adt Pred - Juv Prey"
"pPREY2WHB2",67,"2WHB2","WHB",22,"Adt Pred - Adt Prey"
"pPREY1WHS1",67,"1WHS1","WHS",11,"Juv Pred - Juv Prey"
"pPREY1WHS2",67,"1WHS2","WHS",12,"Juv Pred - Adt Prey"
"pPREY2WHS1",67,"2WHS1","WHS",21,"Adt Pred - Juv Prey"
"pPREY2WHS2",67,"2WHS2","WHS",22,"Adt Pred - Adt Prey"
"pPREY1WHT1",67,"1WHT1","WHT",11,"Juv Pred - Juv Prey"
"pPREY1WHT2",67,"1WHT2","WHT",12,"Juv Pred - Adt Prey"
"pPREY2WHT1",67,"2WHT1","WHT",21,"Adt Pred - Juv Prey"
"pPREY2WHT2",67,"2WHT2","WHT",22,"Adt Pred - Adt Prey"
"pPREYZG",67,"ZG","ZG",NA,"Invert Pred"
"pPREYZL",67,"ZL","ZL",NA,"Invert Pred"
"pPREYZM",67,"ZM","ZM",NA,"Invert Pred"
"pPREYZS",67,"ZS","ZS",NA,"Invert Pred"
