"Run.ID","Group","Code","Type","Unit","Value"
1,"Set1","SB","mQa","scalar",1
2,"Set1","SB","mQa","scalar",52632.5263157895
3,"Set1","SB","mQa","scalar",105264.052631579
4,"Set1","SB","mQa","scalar",157895.578947368
5,"Set1","SB","mQa","scalar",210527.105263158
6,"Set1","SB","mQa","scalar",263158.631578947
7,"Set1","SB","mQa","scalar",315790.157894737
8,"Set1","SB","mQa","scalar",368421.684210526
9,"Set1","SB","mQa","scalar",421053.210526316
10,"Set1","SB","mQa","scalar",473684.736842105
11,"Set1","SB","mQa","scalar",526316.263157895
12,"Set1","SB","mQa","scalar",578947.789473684
13,"Set1","SB","mQa","scalar",631579.315789474
14,"Set1","SB","mQa","scalar",684210.842105263
15,"Set1","SB","mQa","scalar",736842.368421053
16,"Set1","SB","mQa","scalar",789473.894736842
17,"Set1","SB","mQa","scalar",842105.421052632
18,"Set1","SB","mQa","scalar",894736.947368421
19,"Set1","SB","mQa","scalar",947368.473684211
20,"Set1","SB","mQa","scalar",1e+06
21,"Set2","SB","KDENR","scalar",0.001
22,"Set2","SB","KDENR","scalar",0.0535789473684211
23,"Set2","SB","KDENR","scalar",0.106157894736842
24,"Set2","SB","KDENR","scalar",0.158736842105263
25,"Set2","SB","KDENR","scalar",0.211315789473684
26,"Set2","SB","KDENR","scalar",0.263894736842105
27,"Set2","SB","KDENR","scalar",0.316473684210526
28,"Set2","SB","KDENR","scalar",0.369052631578947
29,"Set2","SB","KDENR","scalar",0.421631578947368
30,"Set2","SB","KDENR","scalar",0.474210526315789
31,"Set2","SB","KDENR","scalar",0.52678947368421
32,"Set2","SB","KDENR","scalar",0.579368421052632
33,"Set2","SB","KDENR","scalar",0.631947368421053
34,"Set2","SB","KDENR","scalar",0.684526315789474
35,"Set2","SB","KDENR","scalar",0.737105263157895
36,"Set2","SB","KDENR","scalar",0.789684210526316
37,"Set2","SB","KDENR","scalar",0.842263157894737
38,"Set2","SB","KDENR","scalar",0.894842105263158
39,"Set2","SB","KDENR","scalar",0.947421052631579
40,"Set2","SB","KDENR","scalar",1
41,"Set3","SB","mLa","scalar",1
42,"Set3","SB","mLa","scalar",52632.5263157895
43,"Set3","SB","mLa","scalar",105264.052631579
44,"Set3","SB","mLa","scalar",157895.578947368
45,"Set3","SB","mLa","scalar",210527.105263158
46,"Set3","SB","mLa","scalar",263158.631578947
47,"Set3","SB","mLa","scalar",315790.157894737
48,"Set3","SB","mLa","scalar",368421.684210526
49,"Set3","SB","mLa","scalar",421053.210526316
50,"Set3","SB","mLa","scalar",473684.736842105
51,"Set3","SB","mLa","scalar",526316.263157895
52,"Set3","SB","mLa","scalar",578947.789473684
53,"Set3","SB","mLa","scalar",631579.315789474
54,"Set3","SB","mLa","scalar",684210.842105263
55,"Set3","SB","mLa","scalar",736842.368421053
56,"Set3","SB","mLa","scalar",789473.894736842
57,"Set3","SB","mLa","scalar",842105.421052632
58,"Set3","SB","mLa","scalar",894736.947368421
59,"Set3","SB","mLa","scalar",947368.473684211
60,"Set3","SB","mLa","scalar",1e+06
